,class,precision,recall,f_score,support
0,walking,0.825,0.7857142857142857,0.8048780487804876,42
1,walking upstairs,0.7796610169491526,0.8518518518518519,0.8141592920353983,54
2,walking downstairs,0.7058823529411765,0.8,0.7500000000000001,30
3,riding elevator up,0.4444444444444444,0.09523809523809523,0.1568627450980392,42
4,riding elevator down,0.5384615384615384,0.7,0.608695652173913,30
5,riding escalator up,0.5869565217391305,0.6428571428571429,0.6136363636363638,42
6,riding escalator down,0.7142857142857143,0.35714285714285715,0.4761904761904762,42
7,sitting,0.578125,0.8809523809523809,0.6981132075471698,42
8,eating,0.6388888888888888,0.5476190476190477,0.5897435897435898,42
9,drinking,0.4,0.4074074074074074,0.4036697247706423,54
10,texting,0.6666666666666666,0.6190476190476191,0.6419753086419754,42
11,phone calls,0.5714285714285714,0.26666666666666666,0.36363636363636365,30
12,working on pc,0.5555555555555556,0.8333333333333334,0.6666666666666667,42
13,reading,0.6585365853658537,0.9,0.7605633802816902,30
14,writing sentences,0.6842105263157895,0.8666666666666667,0.7647058823529413,30
15,organizing files,0.5862068965517241,0.40476190476190477,0.4788732394366197,42
16,running,1.0,0.9,0.9473684210526316,30
17,push-ups,1.0,0.9444444444444444,0.9714285714285714,54
18,sit-ups,0.9285714285714286,0.9285714285714286,0.9285714285714286,42
19,cycling,0.5555555555555556,0.8333333333333334,0.6666666666666667,30
