,class,precision,recall,f_score,support
0,walking,0.9210526315789473,0.8333333333333334,0.875,42
1,walking upstairs,0.8627450980392157,0.8148148148148148,0.838095238095238,54
2,walking downstairs,0.6842105263157895,0.8666666666666667,0.7647058823529413,30
3,riding elevator up,0.5862068965517241,0.40476190476190477,0.4788732394366197,42
4,riding elevator down,0.5652173913043478,0.8666666666666667,0.6842105263157895,30
5,riding escalator up,0.7619047619047619,0.7619047619047619,0.7619047619047619,42
6,riding escalator down,0.9090909090909091,0.7142857142857143,0.8,42
7,sitting,0.75,0.7142857142857143,0.7317073170731706,42
8,eating,0.8484848484848485,0.6666666666666666,0.7466666666666666,42
9,drinking,0.5227272727272727,0.42592592592592593,0.46938775510204084,54
10,texting,0.8095238095238095,0.8095238095238095,0.8095238095238095,42
11,phone calls,0.4838709677419355,0.5,0.4918032786885246,30
12,working on pc,0.8163265306122449,0.9523809523809523,0.8791208791208791,42
13,reading,0.8484848484848485,0.9333333333333333,0.888888888888889,30
14,writing sentences,0.8529411764705882,0.9666666666666667,0.90625,30
15,organizing files,0.9090909090909091,0.7142857142857143,0.8,42
16,running,1.0,0.9666666666666667,0.983050847457627,30
17,push-ups,0.9137931034482759,0.9814814814814815,0.9464285714285714,54
18,sit-ups,0.7608695652173914,0.8333333333333334,0.7954545454545455,42
19,cycling,0.6511627906976745,0.9333333333333333,0.767123287671233,30
