,walking,walking upstairs,walking downstairs,riding elevator up,riding elevator down,riding escalator up,riding escalator down,sitting,eating,drinking,texting,phone calls,working on pc,reading,writing sentences,organizing files,running,push-ups,sit-ups,cycling
walking,0.83,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
walking upstairs,0.06,0.81,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking downstairs,0.0,0.03,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
riding elevator up,0.0,0.02,0.0,0.4,0.17,0.1,0.0,0.1,0.0,0.1,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.07
riding elevator down,0.0,0.0,0.0,0.07,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
riding escalator up,0.0,0.02,0.0,0.02,0.07,0.76,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
riding escalator down,0.0,0.0,0.0,0.0,0.02,0.07,0.71,0.02,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
eating,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.67,0.02,0.0,0.0,0.02,0.07,0.12,0.02,0.0,0.02,0.0,0.0
drinking,0.0,0.0,0.04,0.15,0.07,0.02,0.0,0.02,0.04,0.43,0.04,0.15,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02
texting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.81,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phone calls,0.0,0.0,0.0,0.0,0.13,0.03,0.03,0.03,0.0,0.03,0.0,0.5,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.17
working on pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0
writing sentences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.97,0.0,0.0,0.0,0.0,0.0
organizing files,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.05,0.0,0.07,0.0,0.07,0.0,0.0,0.71,0.0,0.0,0.02,0.02
running,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0
push-ups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0
sit-ups,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.83,0.0
cycling,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
