,class,precision,recall,f_score,support
0,walking,0.7894736842105263,0.7142857142857143,0.7500000000000001,42
1,walking upstairs,0.7333333333333333,0.8148148148148148,0.7719298245614035,54
2,walking downstairs,0.8,0.8,0.8000000000000002,30
3,riding elevator up,0.25,0.047619047619047616,0.08,42
4,riding elevator down,0.5,0.6666666666666666,0.5714285714285715,30
5,riding escalator up,0.6,0.6428571428571429,0.6206896551724138,42
6,riding escalator down,0.7333333333333333,0.2619047619047619,0.38596491228070173,42
7,sitting,0.5588235294117647,0.9047619047619048,0.6909090909090908,42
8,eating,0.6060606060606061,0.47619047619047616,0.5333333333333333,42
9,drinking,0.3559322033898305,0.3888888888888889,0.37168141592920356,54
10,texting,0.5588235294117647,0.4523809523809524,0.5,42
11,phone calls,0.35714285714285715,0.16666666666666666,0.22727272727272724,30
12,working on pc,0.5147058823529411,0.8333333333333334,0.6363636363636362,42
13,reading,0.6410256410256411,0.8333333333333334,0.7246376811594204,30
14,writing sentences,0.6046511627906976,0.8666666666666667,0.7123287671232877,30
15,organizing files,0.5454545454545454,0.42857142857142855,0.4799999999999999,42
16,running,1.0,0.9,0.9473684210526316,30
17,push-ups,0.9803921568627451,0.9259259259259259,0.9523809523809523,54
18,sit-ups,0.9534883720930233,0.9761904761904762,0.9647058823529412,42
19,cycling,0.5454545454545454,0.8,0.6486486486486486,30
